supplier_ticker,customer_ticker,fiscal_year,revenue_pct,threshold_only,disclosure_status,accn,source_text
ADI,AAPL,2016,12.0,False,named,0000006281-18-000126,"Apple Inc. represented approximately 14% and 12% of revenue in the fiscal year ended October 28, 2017 (fiscal 2017) and the fiscal year ended October 29, 2016 (fiscal 2016), respectively."
ADI,AAPL,2017,14.0,False,named,0000006281-18-000126,"Apple Inc. represented approximately 14% and 12% of revenue in the fiscal year ended October 28, 2017 (fiscal 2017) and the fiscal year ended October 29, 2016 (fiscal 2016), respectively."
APH,AAPL,2018,12.0,False,named,0001558370-20-000728,"During the year ended December 31, 2018, aggregate sales to Apple Inc., including sales of products to EMS companies that the Company believes are manufacturing products on Apples behalf, accounted for approximately 12% of our net sales."
APH,AAPL,2020,11.0,False,named,0001558370-21-000881,"During the year ended December 31, 2020, aggregate sales to Apple Inc., including sales of products to EMS companies that the Company believes are manufacturing products on Apples behalf, accounted for approximately 11% of our net sales."
APH,unnamed,2022,10.0,True,unnamed,0001558370-23-001036,"single customer accounted for 10% or more of the Companys net sales during either of the years ended December 31, 2022 and 2021."
APH,unnamed,2023,10.0,True,unnamed,0001558370-24-000866,"single customer accounted for 10% or more of the Companys net sales during the years ended December 31, 2023, 2022 and 90"
APH,unnamed,2024,10.0,True,unnamed,0001558370-25-000714,"single customer accounted for 10% or more of the Companys net sales during the years ended December 31, 2024, 2023 and 2022."
APH,unnamed,2025,10.0,True,unnamed,0001104659-26-013549,"single customer accounted for 10% or more of the Companys net sales during the years ended December 31, 2025, 2024 and 2023."
AVGO,AAPL,2018,25.0,False,named,0001730168-18-000084,"We believe aggregate sales to Apple, Inc., through all channels, accounted for approximately 25% of our net revenue for fiscal year 2018."
AVGO,AAPL,2019,20.0,False,named,0001730168-19-000144,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 20% of our net revenue for fiscal year 2019."
AVGO,AAPL,2020,15.0,False,named,0001730168-20-000226,"We believe aggregate sales to Apple Inc., through all channels, accounted for approximately 15% and 20% of our net revenue for fiscal years 2020 and 2019, respectively."
